configuration_id,repository,tasks,retained_accepted
claude_opus_xhigh,ArkLib,5,5
claude_opus_xhigh,LeanExprEvaluator,3,3
claude_opus_xhigh,LeroyCompilerVerificationCourse,4,4
claude_opus_xhigh,VCV-io,17,17
claude_opus_xhigh,clean,47,47
claude_opus_xhigh,iris-lean,1,1
claude_opus_xhigh,juvix-lean,5,5
claude_opus_xhigh,lean-formal-reasoning-program,7,7
claude_opus_xhigh,loom,5,5
claude_opus_xhigh,pcf-lean,1,1
claude_opus_xhigh,veil,5,5
forall_opus_xhigh,ArkLib,5,5
forall_opus_xhigh,LeanExprEvaluator,3,3
forall_opus_xhigh,LeroyCompilerVerificationCourse,4,4
forall_opus_xhigh,VCV-io,17,16
forall_opus_xhigh,clean,47,46
forall_opus_xhigh,iris-lean,1,1
forall_opus_xhigh,juvix-lean,5,5
forall_opus_xhigh,lean-formal-reasoning-program,7,7
forall_opus_xhigh,loom,5,5
forall_opus_xhigh,pcf-lean,1,1
forall_opus_xhigh,veil,5,5
claude_opus_low,ArkLib,5,5
claude_opus_low,LeanExprEvaluator,3,3
claude_opus_low,LeroyCompilerVerificationCourse,4,4
claude_opus_low,VCV-io,17,17
claude_opus_low,clean,47,46
claude_opus_low,iris-lean,1,1
claude_opus_low,juvix-lean,5,5
claude_opus_low,lean-formal-reasoning-program,7,7
claude_opus_low,loom,5,5
claude_opus_low,pcf-lean,1,1
claude_opus_low,veil,5,5
forall_opus_low,ArkLib,5,5
forall_opus_low,LeanExprEvaluator,3,3
forall_opus_low,LeroyCompilerVerificationCourse,4,4
forall_opus_low,VCV-io,17,17
forall_opus_low,clean,47,47
forall_opus_low,iris-lean,1,1
forall_opus_low,juvix-lean,5,5
forall_opus_low,lean-formal-reasoning-program,7,7
forall_opus_low,loom,5,5
forall_opus_low,pcf-lean,1,1
forall_opus_low,veil,5,5
claude_fable_low,ArkLib,5,5
claude_fable_low,LeanExprEvaluator,3,3
claude_fable_low,LeroyCompilerVerificationCourse,4,4
claude_fable_low,VCV-io,17,17
claude_fable_low,clean,47,43
claude_fable_low,iris-lean,1,1
claude_fable_low,juvix-lean,5,5
claude_fable_low,lean-formal-reasoning-program,7,7
claude_fable_low,loom,5,5
claude_fable_low,pcf-lean,1,1
claude_fable_low,veil,5,5
forall_fable_low,ArkLib,5,5
forall_fable_low,LeanExprEvaluator,3,3
forall_fable_low,LeroyCompilerVerificationCourse,4,4
forall_fable_low,VCV-io,17,17
forall_fable_low,clean,47,47
forall_fable_low,iris-lean,1,1
forall_fable_low,juvix-lean,5,5
forall_fable_low,lean-formal-reasoning-program,7,7
forall_fable_low,loom,5,5
forall_fable_low,pcf-lean,1,1
